"Title","Author","Abstract","Year"
"Modélisation UML et outils pour l'analyse spatiale","Paul-Annick Davoine","La mise en œuvre de Systèmes d’Information Géographique (au sens large du terme) dans une démarche d’analyse spatiale nécessite la spécification des objectifs à atteindre et la modélisation du domaine d’étude. Cela suppose donc de se forger une représentation de la réalité étudiée en décrivant d’une part les objets géographiques que l’on retient, leurs caractéristiques et leurs relations et, d’autre part, les traitements à réaliser susceptibles de répondre aux objectifs fixés. Reconnue comme un standard pour la conception des systèmes d’information, l’approche UML (Unified Modelling Language) propose de nombreux modèles permettant d’identifier les structures statiques et dynamiques des systèmes informatiques. Cette approche nécessite une analyse et une structuration des différents paramètres et informations nécessaires à la mise en oeuvre de ces outils. L’objet de cet article est donc de présenter les spécificités de l’approche UML, qui est en fait un langage de modélisation orienté objet et de s’interroger sur sa pertinence dans la conception et la réalisation d’outils d’analyse spatiale. ","2001"
"D… comme distogramme !","Didier Josselin","Le Distogramme est un outil dédié à l'analyse des discontinuités statistiques et spatiales, grâce au lien dynamique entre une représentation cartographique et des histogrammes de variables descriptives. Il permet de modifier interactivement le nombre ou les limites de classes, de discrétiser, transformer et croiser les variables. ","2001"
"Transportation networks and the optimal location of human activities: a numerical geography approach","Isabelle Thomas","Cet article vise à montrer l’importance de la forme du réseau de transport dans la localisation optimale des activités humaines.  Plusieurs séries de simulations sont générées sur des réseaux théoriques de formes carrées et hexagonales. Des modèles courants  de localisation-affectation sont appliqués (UFLP, k-médiane) sous différentes conditions.  Les résultats obtenus sont testés sur des réseaux réels et des problèmes concrets d’aménagement du territoire (localisation de centres de santé dans une région où les pluies affectent l’accessibilité routière ; implantation de déchetteries à l’échelle communale).  Plusieurs enseignements sont à tirer de ces simulations et exemples, particulièrement en termes de gestion de l’espace et aménagement du territoire. ","2001"
"Graphe et fractale. Le fractale comme réalisation sous contrainte et méthode d'extension-réduction des graphes","Philippe Mathis","De récentes thèses ont démontré que les graphes étaient adaptés à la description fonctionnelle des réseaux, par contre les fractales se révélaient plus efficaces au niveau morphologique. Les représentations du graphe ne sont pas suffisamment précisées dans leurs conditions et contraintes par la Théorie des Graphes. Si l’on pallie cette insuffisance, on peut montrer que les fractales sont des réalisations particulières ainsi qu’une méthode d’extension ou de réduction des graphes respectant la propriété d’homothétie interne.Nous rappelons que les réalisations des graphes  ne reposent sur aucune hypothèse selon Berge et que d’autres réalisations ont été faites : plane ou projection plane d’une réalisation à trois dimensions par Cauchy, sur une sphère et sur un tore par Lhuillier et Heawood.Cependant, nous avons trouvé chez Mandelbrot lui-même la confirmation partielle de notre intuition. En effet sa représentation d’un générateur de fractale correspond à celle d’un graphe dont les sommets ne seraient pas nommés, et plus particulièrement à la réalisation planaire d’un graphe.Nous démontrons que la courbe de von Koch peut être décrite comme un graphe, et que l’homothétie interne de la représentation se traduit aussi par une homothétie interne de la matrice d’adjacence. Il suffit alors de préciser les contraintes spécifiques de la réalisation pour retrouver la fractale géométrique classique.Les graphes peuvent aussi décrire les arborescences fractales, la propriété d’auto similarité de la matrice d’adjacence et de la réalisation étant conservées. La H-fractale de Mandelbrot peut être représentée aussi sous la forme d’un arbre régulier : ce sont deux réalisations d’un même graphe mais sous contraintes différentes. De plus cette fractale n’est pas nécessairement planaire.Nous abordons rapidement l’exemple de l’arbre de Pythagore et l’utilisation des concepts de primal et quasi-dual.Le troisième exemple sera celui du tapis de Sierpinski et son application à la théorie de Christaller. Cet aspect sera étendu aux systèmes hiérarchiques rhomboïdaux de Brian Berry.Les fractales ont leurs correspondances en termes d’extension et réduction des graphes, de même que les fractales à homothétie interne stochastique. Nous considérons enfin le maillage comme une situation limite du fractale avec les exemples de la H-fractale carrée ou rectangulaire, des maillages triangulaires et fractale ternaire, du dual hexagonal, puis du quasi dual d’un graphe en expansion. La Théorie des Graphes Etendue dispose ainsi d’une méthode d’extension à partir de la matrice d’adjacence ou de la réalisation et symétriquement d’une méthode de réduction ainsi que d’indices efficaces de morphologie, ce qui permet de considérables progrès dans la représentation et la modélisation des réseaux. ","2001"
"The drama of real-life in a timegeographic disguise","Bo Lenntorp","Une description de la vie quotidienne d’un ménage, fondée sur la time-geography, constitue la toile de fond de l’article. Les avantages à utiliser les notations de la time-geography seront énoncées tout en introduisant quelques concepts fondamentaux. Le corps de l’article consiste en une discussion autour de considérations théoriques concernant les fondements de la time-geography. On s’intéressera plus particulièrement à l’étude de certains concepts-clefs, tels que la contextualité, la corporéalité et les processus collatéraux. L’interface entre l’approche théorique et le système de notation graphique sera examinée. Des concepts additionnels significatifs seront mis en avant afin d‘illustrer le propos et de fournir une base à de possibles applications. Quelques réflexions sur la time-geography seront soulevées pour souligner les « pour et les contre ». Au final, quelques domaines d’application seront présentés. La conclusion suggérera que la time-geography peut prendre toute sa valeur dans le cadre, à la fois de l’actuel débat sur les sciences physiques et humaines, et des recherches visant à considérer simultanément le temps et l’espace. ","2003"
"Autoroutes, activités et territoires : propositions méthodologiques pour évaluer l'impact de l'autoroute sur la spatialisation des activités","Emmanuel Faivre","L'autoroute est-elle capable de fixer les activités ? Cette question relativement simple, ancienne et controversée, posée par la Société des Autoroutes Paris-Rhin-Rhône n’a toujours pas été résolue malgré l’acceptation d’une logique d’interactions primant sur une logique d’effets automatiques d’un seul élément. Elle se heurte essentiellement à un blocage méthodologique qui empêche, en l'état actuel des recherches, d'y répondre de manière plus rigoureuse et d’exporter des conclusions validées dans tous les cas. Aussi, nous proposons une nouvelle méthode de recherche qui intègre la totalité du système de localisation des activités et une nouvelle conception de recherche qui n’essaye plus d’isoler le facteur autoroutier mais tente d'analyser le rôle joué par l'autoroute au sein du système auquel elle appartient. L’aboutissement de nos recherches se matérialise par la réalisation d’une grille d’analyse résolument systémique visant à comprendre et expliquer les interactions entre autoroutes et système de localisation des activités, l’un de ses développements potentiels pouvant résider dans une formalisation de type système expert. ","2003"
"La théorie des jeux et l'aménagement du territoire. La cas de la mise en place du portail web ""Grand Besançon""","Oumar Ndiaye","L’aménagement du territoire constitue aujourd’hui l’une des pierres angulaires du développement des collectivités territoriales. La théorie des jeux une branche de la théorie économique permet d’analyser la pertinence des décisions prises par les élus lorsqu’ils envisagent de gérer les ressources rares présentes sur leurs territoires. Dans cette perspective, on peut définir la théorie des jeux comme étant une théorie de la prise de décision des agents économiques en situation d’interdépendance. A ce propos, on distingue la théorie des jeux non coopératifs et la théorie des jeux coopératifs. Cet article cherche à confirmer l’existence d’une méthode permettant aux communes de fédérer leur énergie afin d’optimiser l’exploitation de leurs ressources : déchets, énergie, eau, nouvelles technologies de l’information et de la communication (NTIC) etc. Après avoir rapidement montré l’utilité des jeux non coopératifs dans les comportements stratégiques de certains acteurs, nous mettrons l’accent sur la théorie des jeux coopératifs, parce que plus riche dans le cadre de l’aménagement du territoire. La méthode que nous utilisons pour mener à bien nos investigations est « la Valeur de SHAPLEY ». Cette dernière représente la contribution marginale moyenne de chaque commune  ou collectivité, i.e. la valeur que cette  collectivité rapporte lorsqu’elle intègre une coalition. ","2003"
"Système productif complexe et pluriterritorial. Le cas des microtechniques","Sophie Bergeon-Carel","La crise horlogère des années 1970-1980 a conduit institutions, entreprises et acteurs franc-comtois à promouvoir une reconversion vers les microtechniques. Néanmoins, on ne peut que constater l’échec relatif de cette tentative de constitution d’un nouveau système productif local, à partir des entreprises issues de l’industrie horlogère. Nous présentons ici les premiers résultats d’une recherche fondée sur l’hypothèse d’existence d’un système productif non plus local, mais pluri-territorial, organisé en réseau. Il semble se développer de manière préférentielle sur des espaces que l’on peut repérer dans les régions parisienne et grenobloise en France, et en Suisse pour l’étranger. Il reste à préciser la place et le rôle des industries locales issues de l’horlogerie au sein de cette configuration. La difficulté de définition même du concept de microtechniques et le flou du secteur, absent des statistiques industrielles, nous conduit à proposer une analyse du système fondée sur une méthode inductive. Elle consiste à suivre les pratiques des industriels, et à préciser les liens qui les unissent. De ce point de vue, l’analyse du salon Micronora à Besançon est révélatrice de la complexité du système et permet d’orienter nos recherches à venir. ","2003"
"La ""mer"" côtière : une frange pionnière. Essai sur la construction d'un ensemble territorial","Brice Trouillet","Les littoraux sont souvent présentés comme une discontinuité majeure puisqu’ils matérialisent une des limites de l’écoumène. Si l’on retient ce principe général d’un front, il semble que celui-ci tend aujourd’hui à se doubler d’une frange : la mer côtière. A l’échelle planétaire, les espaces maritimes ont connu récemment des processus de territorialisation (au sens juridique). La levée progressive des obstacles techniques à l’occupation matérielle des espaces marins et sous-marins, la découverte de nouvelles ressources et l’essor corrélatif des recherches océanographiques, ont rendu possible le développement de modes d’occupation de l’espace jusque-là inédits en mer. L’occupation de la mer côtière tend à devenir permanente et les empreintes matérielles tendent à se banaliser : on assiste à sa socialisation progressive. Néanmoins, l’étude de la configuration spatiale de la mer côtière dévoile, à toutes les échelles, une structure territoriale complexe et différenciée. Espace et moment privilégiés, la systémogenèse territoriale en mer côtière doit permettre de réfléchir à une crise multiforme (halieutique, énergétique, spatiale, etc.) qui conditionnerait la vitesse de progression pionnière et expliquerait les disparités du phénomène pionnier. ","2003"
"Evolution d'un espace de production transfrontalier : un ou des systèmes ?","Alexandre Moine","L’organisation spatiale d’un territoire doit beaucoup à l’histoire, aux multiples acteurs dont les destins se sont croisés en ses lieux, et qui, par leurs décisions, ont orienté de manière radicale son évolution. Dans le cadre d’un territoire transfrontalier, la situation se révèle encore plus complexe à aborder, puisque les différentiels engendrés par la limite étatique on pesé et pèsent encore sur son devenir. Il en reste aujourd’hui une structuration, mais aussi et surtout des dynamiques empreintes des choix et des bifurcations antérieures. Nous nous posons donc la question de la représentation des faits et de l’organisation territoriale qui en découle. Nous allons remonter l’histoire de ce territoire, et représenter la systémogenèse du système spatial actuel. ","2003"
"La reproduction spatiale, un concept géohistorique pour aborder le laboratoire romain","Géraldine Djament","Cet article étudie le changement spatial à partir de l’analyse de la géohistoire de la soi-disant Ville Eternelle sur le long terme.  Il commence par définir le concept de reproduction comme dialectique du même et de l’autre dans différents champs disciplinaires, avant de proposer son importation en géographie. L’application du concept de reproduction spatiale, proche de la résilience, au système spatial romain passe par un repérage des mutations de la centralité urbaine, et par une étude des transitions territoriales, en particulier celle qui voit la ville-monde religieuse devenir capitale de l’Etat-nation italien. Au terme de cette présentation est dégagée une véritable « stratégie spatiale romaine » et sont esquissées les leçons du laboratoire romain : la continuité et la discontinuité forment un binôme relatif et inséparable, utile au découpage du temps et de l’espace. La réflexion se clôt sur un plaidoyer en faveur de la géohistoire. ","2003"
"Caractéristiques spatiales et pollution automobile en montagne. Modèle de diffusion intégrant la topographie et capacité de dispersion appliqués aux vallées pyrénéennes de Biriatou et d'Aspe (Somport)","Gaëlle Deletraz","Le travail entrepris a pour objectif d’évaluer l’incidence de la pollution azotée des transports sur les écosystèmes de montagne. Deux vallées pyrénéennes ont été choisies comme terrain d’étude : le site de Biriatou (A63), peu montagnard, et la vallée d’Aspe (RN134), très encaissée, pour établir un point zéro avant l’ouverture du tunnel du Somport. Le polluant retenu pour cette étude est le dioxyde d’azote (NO2) car il contribue – avec les autres polluants azotés – à l’acidification et à l’eutrophisation des eaux et des sols. L’étude porte sur deux aspects : la capacité de dispersion des différents site et la quantification/spatialisation de la pollution et des risques associés. ","2003"
"La forêt face au risque tempête : vers d'autres apports de l'analyse spatiale","Joël Boulier, Claude Grasland","Suite aux tempêtes de décembre 1999, de nombreuses études ont été lancées dans le but de mieux appréhender l’impact et le comportement des tempêtes en milieu forestier. Les réponses apportées reposent souvent sur le peuplement affecté lui-même, que ce soit à un niveau d’observation de l’individu « arbre » ou à celui du peuplement. En revanche, il y a peu de questionnement sur l’environnement spatial des zones sinistrées. Dans ce cadre, nous proposons une approche différente de compréhension du fonctionnement des tempêtes en introduisant une très forte dimension spatiale à l’analyse de ce risque « tempête » et à celle de la sensibilité des peuplements forestiers. Les méthodes d'interactions spatiales nous semblent être des pistes prometteuses pour résoudre le problème posé. Deux grands axes de réflexion sont explorés :  1) en prenant en compte l’orientation des flux d’air, nous cherchons à mettre en évidence l’interaction entre mode d’occupation du sol et zones sinistrées, selon des critères de distance et de nature de l’interaction spatiale (approche par les potentiels…) ; 2) par ailleurs, nous orientons également nos travaux sur les interactions entre dégâts et ouvertures de structures (lacunes et enclaves) telles que chemins, carrefours, routes, clairières… Ce programme ambitieux, outre ses propositions méthodologiques, cherche aussi à répondre à une réelle attente des acteurs de la forêt : peut-on se prémunir face au risque « tempête » ? ","2003"
"Utilisation des analyses radiales pour quantifier l'échelle locale du paysage. Application à l'étude de la dynamique spatio-temporelle du campagnol terrestre","Karine Berthier, Jean-Christophe Foltête, Brigitte Prieur, Jean-François Cosson","En écologie du paysage, l’échelle spatiale est un élément clé pour comprendre l’influence de la variabilité spatiale de l’environnement sur les processus écologiques. Pour identifier et évaluer ces interactions les écologistes ont adapté une grande variété d’analyses spatiales issues d’autres disciplines. Dans le cadre de cette étude nous avons appliqué une analyse de voisinage, utilisée en pédologie, pour étudier un paysage en fonction de l’échelle spatiale. Cette méthode permet d’identifier l’échelle locale des motifs spatiaux et leur degré d’hétérogénéité, par l’analyse de courbes radiales. ","2003"
"Risques sismiques et risques technologiques. Application à l'agglomération de Mulhouse","Elise Beck, Michel Granet, Christiane Weber","L’étude des interactions entre risque sismique et risques technologiques en milieu urbain poursuit deux objectifs : le premier consiste à acquérir une meilleure connaissance des risques sismique et technologiques dans la région étudiée, et surtout des relations existant entre eux. Le second objectif consiste à imaginer des scénarios catastrophiques de manière à évaluer les conséquences d'une catastrophe dans l'optique d'une meilleure gestion des risques. L'agglomération de Mulhouse (Haut-Rhin, France) se place dans un contexte particulièrement favorable à une telle étude car il s’agit d’une ville industrielle exposée à des risques technologiques et naturels de natures différentes (risque sismique, inondations, explosion, incendie, pollution.). ","2003"
"Evaluer la qualité d'un service de transport interurbain. L'exemple du réseau ferroviaire régional","Hervé Baptiste","La loi du 13 février 1997, relative à la régionalisation du transport ferroviaire, suivie de la loi SRU de 2000, ainsi que la LOADDT de 1999 ont orienté la perception des infrastructures de transport vers une démarche intermodale plus aboutie et envisageant plus complètement le point de vue de l’usager. La qualité de service de l’offre de transport et l’appréhension de la chaîne complète de déplacement d’un usager sont devenues deux points d’entrée importants de l’évaluation de l’accessibilité. En définissant l’intérêt et les limites de plusieurs indicateurs, il s’agit de poser un regard critique sur les mesures « classiques », puis d’en proposer d’autres, plus originales, basées non seulement sur une approche en porte à porte et multimodale, mais aussi en intégrant les grilles horaires pour les modes de transport collectifs. En partant des mesures de type « meilleur temps » ou « fréquence » sur des exemples à l’échelle nationale, nous introduisons la notion d’aller-retour journalier, selon des niveaux progressifs de contraintes, afin de pouvoir évaluer, à l’échelle régionale, l’éventuelle adéquation des horaires de transport avec les rythmes de vie de l’usager, ou tout du moins, leurs besoins présumés. ","2003"
"Morphologie urbaine et mobilité pédestre. Identification des configurations spatiales déterminant les caractères locaux des déplacements piétonniers","Mehdi Flitti, Arnaud Piombini","Les pratiques pédestres au sein des espaces urbanisés demeurent mal connues. Afin de mieux comprendre ce type de déplacement et ainsi aider à son développement, nous proposons dans cet article d’étudier les liens entre morphologie urbaine et mobilité piétonnière. Cette exploration repose sur l’observation des variations spatiales des comportements moyens de marche à pied dictés par la configuration du réseau viaire en chaque lieu. Le niveau d'analyse considéré est celui des différents tronçons composant la voirie, où sont agrégés les attributs des trajets piétonniers d’une part, et des indicateurs de morphologie urbaine (configuration du réseau…) d’autre part. Cette mise en relation doit permettre d’identifier des configurations spatiales plus ou moins aptes à favoriser le trafic pédestre. ","2003"
"Densité, population cumulée et temps d'accès. Analyse des relations entre morphologie urbain et temps d'accès dans l'aire urbaine dijonnaise","Cyril Enault","Envisagé dès 1951, le modèle de Clark est aujourd’hui une référence en économie urbaine pour la modélisation des densités. Pourtant, en 1972, René Bussière, met au point un nouveau modèle de densité bien mieux ajusté aux données de population et plus à même de décrire l’étalement urbain. Reprenant ce modèle, Eric Tabourin et Alain Bonnafous, en 1994, propose une nouvelle formalisation adaptée aussi bien à la ville qu’à l’espace périurbain. Cette communication se propose de tester ces modèles standards de l‘économie urbaine en commençant par vérifier la validité des hypothèses monocentriques d’Alonso sur Dijon. Il est ainsi montré que l’on ne peut appliquer les logiques de Clark ou Bussière uniformément sur l’espace et qu’il convient de déterminer des secteurs où les modèles seront envisageables. Il est ensuite considéré que le temps d’accès est un bien meilleur descripteur que la distance au centre. Une méthode de calcul des vitesses est mise au point pour déterminer les temps d’accès au centre. En partant de ces résultats, un modèle a pour objet de montrer la non-linéarité du temps par rapport à la distance, ce qui contribue, dans l’éventualité d’une substitution de la distance par le temps à une reformulation des modèles de Clark et de Bussière. On est alors en mesure de spatialiser le modèle de Bussière en fonction des temps d’accès en mettant ainsi en avant une nouvelle rupture de nature temporelle trouvant son origine chez Zahavi et sa fameuse constance des budgets temps. ","2003"
"Un dispositif multi-échelle d'analyse des dynamiques agraire en zone des savanes de l'extrême nord du Cameroun","Eric Fotsing, Jean-Paul Cheylan, Wouter T. DeGroot, Peter H. Verburg","Les études agronomiques et socio-économiques à l’échelle de l’exploitation agricole ont un avantage certain pour la compréhension de la dynamique des systèmes agraires. C’est l’échelle la plus appropriée pour identifier les éléments structurants du système agraire et analyser leur logique d’organisation et  leur mode de gestion. Toutefois, les études à l’échelle du terroir montrent déjà les limites de ces approches locales qui présentent pour la plupart un caractère sectoriel et disciplinaire. De plus en plus, les expériences révèlent que ce n’est qu’à l’échelle de la petite région et plus encore à l’échelle régionale, que certains processus clé et des contrastes plus marqués se manifestent dans les systèmes de mise en valeur des espaces et leurs niveaux de productivité. En effet, l’identification des niveaux d'analyse et de représentation des données appropriés ainsi que le développement d’approches multi-échelles sont de plus en plus déterminants dans les études sur les systèmes naturels et sociaux. Cet article présente un dispositif multi-échelle conçu pour analyser les dynamiques spatiales du système agraire afin de  déboucher sur un modèle de projection des changements de l’utilisation de l’espace. La hiérarchie spatiale du dispositif est présentée et les questions relatives aux méthodes de changement d’échelle sont ensuite abordées. ","2003"
"L'apprentissage de l'allemand dans le grand est français : une approche à différents niveaux géographiques","Cécile Buxeda","Nous présentons dans cet article les principaux questionnements théoriques et méthodologiques rencontrés dans le cadre de nos recherches de doctorat. A travers l’étude de l’apprentissage de l’allemand, nous nous interrogeons sur les conséquences territoriales de l’évolution fonctionnelle de la frontière franco-allemande sur le grand Est français. Les formes de l’extension spatiale de cette pratique, étudiées à différentes échelles, montrent qu’elle est liée à la proximité de la frontière politique mais qu’elle traduit également une certaine persistance de la limite linguistique. L’analyse des comportements en matière de choix linguistique permettra également de déterminer s’ils sont liés à d’autres pratiques transfrontalières : pour répondre à ces questionnements, nous tenterons de démontrer ici l’intérêt d’une démarche d’analyse menée à plusieurs niveaux d’observation. ","2003"
"Paysage de montagne et télédétection. Intégration des outils géomatiques et des données numériques à l'étude du paysage d'estive (application aux Pyrénées)","Muriel Harguindéguy","Dans les Pyrénées les estives sont les pâturages d’altitude. Espaces sensibles, en pleine mutation, convoités et enjeux d’une économie fragile, elles font l’objet d’une attention particulière. Dans cette optique une connaissance exhaustive de ces milieux est plus que jamais nécessaire afin de réaliser des diagnostics pertinents. Ceux-ci impliquent de disposer de cartographies des milieux sur de grandes superficies. L’acquisition de cette information peut être facilitée par l’utilisation de la télédétection, elle permet de produire une cartographie thématique de l’occupation du sol dans une perspective appliquée (cartographies des valeurs pastorales, charge animale potentielle...). Notre objectif est de proposer une réflexion méthodologique afin d’utiliser l’information radiométrique (SPOT XS-P) et topographiques (MNT et données dérivées) pour cartographier - en termes de probabilités - des classes de paysages et les éléments qui les caractérisent. Elle est fondée sur la création d’une typologie issue d’une Analyse Factorielle des Correspondances (AFC) et d’une Classification Ascendante Hiérarchique (CAH) réalisées à partir d’observations fines de terrain (approche comparable à celle des phytosociologues). C’est une démarche totalement différente de celle des classifications supervisées ""classiques"". Pour simplifier, les informations radiométrique et topographique sont utilisées afin de spatialiser (dans le sens de couvrir de manière continue) des données observées ponctuellement dont la résolution est inférieure à celle des pixels. ","2003"
"Anamorphoses par transformations pseudo-équivalentes. Application à la cartographie thématique","Patrice Langlois","Nous présentons une transformation cartographique permettant d’agrandir ou de rétrécir les zones d’une carte en fonction des valeurs d’une variable descriptive associée. Nous souhaitons que cette transformation possède des propriétés spatiales clairement explicitées, tout en donnant des résultats visuels acceptables. Ainsi, nous avons défini une classe de fonctions polaires élémentaires qui conservent les surfaces, sauf au voisinage du pôle de déformation, c’est la propriété de pseudo-équivalence. Ensuite nous avons défini une opération de combinaison de ces transformations élémentaires, la ""composition progressive"" qui est commutative (c’est-à-dire indépendante de l’ordre d’application des transformations élémentaires) et qui préserve la propriété de pseudo-équivalence. Nous présentons enfin quelques cartes thématiques déformées, de manière à ce que les surfaces des zones deviennent proportionnelles aux valeurs descriptives associées. Nous analysons les avantages et les inconvénients des différents choix de fonctions envisagés. ","2003"
"Vers la mise en évidence d'une différenciation spatiale des secteurs de collecte des déchets ménagers. Application à la ville de Grenoble","Nicolas Perrin","La gestion des déchets constitue une préoccupation croissante pour les responsables des collectivités, les citoyens et les entreprises. Il est nécessaire de l’aborder de façon plus globale étant donné la complexité de cette thématique (multiplicités de schémas et de modèles de gestion des déchets ménagers selon les espaces, multitude d’acteurs et d’échelles d’actions). Dans cet article nous aborderons un besoin d’information récurrent des gestionnaires de la collecte: celui d’une analyse fine des secteurs de collecte des déchets ménagers. Le gestionnaire s’interroge sur la manière de rationaliser et d’optimiser les facteurs de production pour maîtriser le coût des collectes de déchets. Pour cela, il a besoin de connaître les performances réelles des équipes au regard du circuit qu’elles parcourent, d’où l’utilité de définir des paramètres communs « justes et fins » qui permettent de caractériser les circuits.  Toutefois les secteurs de collecte sont différents les uns des autres et répondent chacun à des contraintes spécifiques (nombre différent d’habitants, pourcentages d’habitat individuel et collectif distincts, nombre de commerces collectés, etc…). L’intérêt est d’utiliser des indicateurs « fins et rigoureux » ainsi que différentes données socio-économiques pour caractériser au mieux  les secteurs de collectes des déchets ménagers dans un SIG. ","2003"
"Méthodologie pour la gestion durable des têtes de bassins versants. De l'analyse globale des bassins versants au diagnostic écologique des systèmes ruisseaux","Raphaël Berthold","La nouvelle orientation de la gestion des milieux aquatiques, concrétisée par la loi « eau » du 3 janvier 1992 et les Schémas Directeurs d’Aménagement et de Gestion des Eaux, nécessite la mise en place de méthodes évaluant plus efficacement l’intégrité de ces milieux. Le Ministère de l’Environnement et les Agences de l’Eau ont reconsidéré les grilles de qualité utilisées au cours des dernières décennies. Il s’agit dès lors d’évaluer l’état des cours d’eau en fonction de trois volets : les polluants chimiques et organiques (SEQ-Eau), les perturbations physiques qui déstabilisent la structure et le fonctionnement des cours d’eau (SEQ-Physique), et enfin la qualité biologique (SEQ-Bio) par l’intermédiaire des bioindicateurs. Cependant, hormis le SEQ Eau, la plupart de ces systèmes d’évaluation ne sont pas opérationnels et sont le plus souvent adaptés surtout aux rivières.  L’objectif de notre article est de proposer une méthode permettant d’évaluer l’intégrité écologique des ruisseaux. Elle a pour objectif de mettre en évidence l’influence de facteurs anthropiques ou naturels sur le développement d’une espèce à forte valeur patrimoniale : la truite commune de souche autochtone. L’intérêt de cette démarche est de proposer un système d’évaluation qui intègre à la fois les composantes biologiques (Indice Poisson) et physiques (habitat) en vue d’apprécier l’état de fonctionnalité de ces petits organismes. ","2003"
"M'Géofoot : un logiciel pour illustrer la relation sport-territoire","Frédéric Grosjean, Alexandre Moine","Aujourd’hui, les acteurs du fait sportif sont multiples, les logiques de développement de chacun étroitement liées et les référents informationnels sur lesquels peuvent porter les diagnostics complètement dispersés. L’enjeu d’une mise en cohérence des multiples données qui décrivent le fait sportif est devenu crucial. Nous présentons ici la démarche de mise en place d’un observatoire du football (MGéO’FOOT) permettant de mieux gérer, organiser et comprendre l’évolution du football dans un cadre régional. Cet observatoire est appliqué à la région Franche-Comté. ","2003"
"Approche méthodologique multicritère pour l'analyse d'un évènement ponctuel dans une logique temporelle longue. Application à l'évolution des infrastructures et équipements des jeux olympiques d'hiver de l'arc alpin","Jocelin Sébastiani","Afin d’obtenir l’investiture olympique, les villes et les nations s’affrontent périodiquement dans des projets qui dé¬passent largement le seul cadre sportif lui-même : projets architecturaux des équipements, projets d’aménagement et de recon¬version des sites, projets de développement urbain… Les divers équipements construits à l’occasion des Jeux agissent comme des moteurs importants du développement urbain local en modifiant le territoire et les habitudes des populations dans leurs fa¬çons d’utiliser et de se représenter leur espace vécu. Nous nous interrogerons sur la manière et les indicateurs susceptibles d'être retenus pour l'analyse du phénomène olympique à travers cinq pays de l'arc alpin. Ce sont tout autant de problématiques qui peuvent intéresser le géographe, tant la dynamique qu’instaurent les Jeux Olympiques sur une région et une ville est impor¬tante et laisse des traces dans le paysage. ","2003"
"Apport des données Aladin dans le cadre d'une prévision de l'ozone troposphérique en Bourgogne","Marie-Laure Houze, Pascale Chevrand, Yves Richard","Le CRC et les réseaux de surveillance de la qualité de l'air ATMOSF'air Bourgogne Centre-Nord et Sud élaborent un outil de prévision au lendemain de la pollution à l’ozone troposphérique. L’objectif est de prévoir les concentrations maximales quotidiennes à l’aide de modèles statistiques exploitables par les réseaux. Ces modèles considèrent des précurseurs de l’ozone, mesurés le jour où est effectuée la prévision, et les conditions météorologiques du jour pour lequel est effectuée la prévision. Une première étape fut d’étudier la prévisibilité de l’ozone à partir d’observations météorologiques ou « prévisions météorologiques parfaites ». Une seconde fut de réaliser de véritables prévisions. Elle intègre des prévisions météorologiques, par essence imparfaites : les données issues du modèle numérique ALADIN (Aire Limitée, Adaptation dynamique, Développement InterNational) de Météo-France, échéances 27 et 36 heures. Les performances en prévision sont plus élevées qu’en prévisibilité : les prévisions météorologiques issues du modèle numérique sont donc plus informatives, du point de vue opérationnel, que les mesures in situ. En effet, la modélisation pallie certaines carences de l’observation : en Bourgogne, l’absence de radiosondage ne permet pas de connaître la stratification verticale de l’atmosphère, paramètre très important en ce qui concerne les concentrations en ozone troposphérique. ","2003"
"L'utilisation d'ensembles de données climatiques sur modèles de circulation générale de l'atmosphère. Concepts, méthodes et application à la climatologie de l'espace sud-africain","Nicolas Fauchereau, Yves Richard","Les séries (ensembles) de simulations longues sur modèles numériques de Circulation Générale de l’Atmosphère (MCGA) - réalisées par la communauté des physiciens de l’atmosphère – offrent au géographe climatologue plusieurs informations relatives à la variabilité du climat complétant l’analyse des séries observées.  L’étude présentée ici se base sur un ensemble de 8 simulations longues (de 1948 à 1997) réalisées sur le MCGA français ARPEGE Climat - Version 3 (Centre National de Recherches Météorologiques). Ces simulations utilisent comme conditions aux limites l’énergie solaire et  les champs de Températures de Surface de la Mer. Ces dernières varient en fonction des observations mensuelles et sont donc la principale source de la variabilité interannuelle du forçage exercé sur l’atmosphère. Les principaux concepts (variabilité forcée de l’atmosphère versus variabilité interne ou « chaotique », prévisibilité de l’atmosphère) sont d’abord exposés. Les méthodes statistiques utilisées (Analyse de Variance, Analyse en Composantes Principales étendue) sont ensuite rapidement présentées. L’exemple donné concerne l’étude de la variabilité et de la prévisibilité des précipitations en Afrique Australe. ","2003"
